item_name,saurce,ingredients,ingredients
Carnitas Bowl, Tomatillo Red Chili Salsa  Hot ,"  Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce  ",3
Carnitas Bowl, Tomatillo Red Chili Salsa  Hot ,"  Black Beans, Rice, Cheese, Sour Cream, Lettuce  ",1
Carnitas Bowl, Tomatillo Red Chili Salsa  Hot ,"  Lettuce, Sour Cream, Cheese, Fajita Veggies, Rice, Black Beans  ",1
Carnitas Burrito,  Fresh Tomato Salsa  Mild ," Roasted Chili Corn Salsa  Medium  ,  Black Beans, Rice, Cheese, Sour Cream, Lettuce  ",1
Carnitas Burrito,  Tomatillo Green Chili Salsa  Medium ," Roasted Chili Corn Salsa  Medium  ,  Black Beans, Rice, Sour Cream, Lettuce  ",1
Carnitas Burrito, Fresh Tomato  Mild ,"  Lettuce, Rice  ",2
Carnitas Burrito, Fresh Tomato  Mild ,"  Lettuce, Black Beans, Guacamole, Rice, Sour Cream, Cheese  ",1
Carnitas Burrito, Fresh Tomato Salsa,"  Rice, Pinto Beans, Sour Cream, Cheese  ",4
Carnitas Burrito, Fresh Tomato Salsa,"  Rice, Pinto Beans, Cheese, Sour Cream  ",3
Carnitas Burrito, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce  ",2
Carnitas Burrito, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Lettuce  ",2
Carnitas Burrito, Fresh Tomato Salsa,"  Rice, Pinto Beans, Cheese  ",2
Carnitas Burrito, Fresh Tomato Salsa,"  Black Beans, Cheese, Sour Cream, Guacamole, Lettuce  ",1
Carnitas Burrito, Fresh Tomato Salsa,"  Black Beans, Pinto Beans, Cheese, Sour Cream, Lettuce  ",1
Carnitas Burrito, Fresh Tomato Salsa,"  Cheese, Lettuce  ",1
Carnitas Burrito, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream  ",1
Carnitas Burrito, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce  ",1
Carnitas Burrito, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Pinto Beans, Cheese, Sour Cream, Lettuce  ",1
Carnitas Burrito, Fresh Tomato Salsa,"  Rice, Black Beans, Cheese, Lettuce  ",1
Carnitas Burrito, Fresh Tomato Salsa,"  Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce  ",1
Carnitas Burrito, Fresh Tomato Salsa,"  Rice, Black Beans, Cheese, Sour Cream, Lettuce  ",1
Carnitas Burrito, Fresh Tomato Salsa,"  Rice, Black Beans, Guacamole, Lettuce  ",1
Carnitas Burrito, Fresh Tomato Salsa,"  Rice, Cheese, Sour Cream, Lettuce  ",1
Carnitas Burrito, Fresh Tomato Salsa,"  Rice, Pinto Beans, Cheese, Lettuce  ",1
Carnitas Burrito, Fresh Tomato Salsa  Mild ,"  Black Beans, Rice, Cheese, Sour Cream, Guacamole  ",2
Carnitas Burrito, Fresh Tomato Salsa  Mild ,"  Black Beans, Rice, Cheese, Sour Cream  ",1
Carnitas Burrito, Fresh Tomato Salsa  Mild ,"  Pinto Beans, Black Beans, Rice, Cheese, Sour Cream, Lettuce  ",1
Carnitas Burrito, Fresh Tomato Salsa  Mild ,"  Pinto Beans, Rice, Fajita Veggies, Sour Cream  ",1
Carnitas Burrito, Roasted Chili Corn Salsa,"  Cheese, Rice, Guacamole  ",1
Carnitas Burrito, Roasted Chili Corn Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Lettuce  ",1
Carnitas Burrito, Roasted Chili Corn Salsa,"  Rice, Black Beans, Sour Cream, Cheese  ",1
Carnitas Burrito, Roasted Chili Corn Salsa,"  Rice, Cheese, Guacamole  ",1
Carnitas Burrito, Roasted Chili Corn Salsa,"  Rice, Pinto Beans, Guacamole, Lettuce  ",1
Carnitas Burrito, Roasted Chili Corn Salsa,"  Sour Cream, Guacamole  ",1
Carnitas Burrito, Roasted Chili Corn Salsa  Medium ,"  Black Beans, Lettuce  ",1
Carnitas Burrito, Tomatillo Green Chili Salsa,"  Rice, Pinto Beans, Cheese, Sour Cream, Guacamole  ",2
Carnitas Burrito, Tomatillo Green Chili Salsa,"  Rice, Pinto Beans, Sour Cream  ",2
Carnitas Burrito, Tomatillo Green Chili Salsa,"  Fajita Vegetables, Rice, Black Beans, Guacamole, Lettuce  ",1
Carnitas Burrito, Tomatillo Green Chili Salsa,"  Fajita Vegetables, Rice, Cheese, Sour Cream  ",1
Carnitas Burrito, Tomatillo Green Chili Salsa,"  Rice, Black Beans, Cheese, Sour Cream  ",1
Carnitas Burrito, Tomatillo Green Chili Salsa,"  Rice, Fajita Vegetables, Sour Cream, Cheese, Lettuce, Guacamole  ",1
Carnitas Burrito, Tomatillo Green Chili Salsa,"  Sour Cream, Cheese, Guacamole  ",1
Carnitas Burrito, Tomatillo Red Chili Salsa,"  Black Beans, Cheese, Sour Cream, Guacamole  ",1
Carnitas Burrito, Tomatillo Red Chili Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Lettuce  ",1
Carnitas Burrito, Tomatillo Red Chili Salsa,"  Rice, Cheese, Sour Cream, Lettuce  ",1
Carnitas Burrito, Tomatillo Red Chili Salsa,"  Rice, Pinto Beans, Cheese, Sour Cream  ",1
Carnitas Burrito, Tomatillo Red Chili Salsa ,Origin,1
Carnitas Burrito, Tomatillo Red Chili Salsa  Hot ,"  Black Beans, Rice, Cheese, Sour Cream, Lettuce  ",1
Carnitas Burrito, Tomatillo Red Chili Salsa  Hot ,"  Black Beans, Rice, Fajita Veggies, Cheese, Lettuce  ",1
Carnitas Burrito, Tomatillo Red Chili Salsa  Hot ,"  Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce  ",1
Carnitas Crispy Tacos, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce  ",1
Carnitas Crispy Tacos, Fresh Tomato Salsa,"  Pinto Beans, Sour Cream, Cheese, Lettuce  ",1
Carnitas Crispy Tacos, Fresh Tomato Salsa  Mild ,"  Cheese, Lettuce  ",1
Carnitas Crispy Tacos, Roasted Chili Corn Salsa ,Origin,1
Carnitas Crispy Tacos, Tomatillo Green Chili Salsa,"  Rice, Black Beans, Cheese, Sour Cream, Guacamole  ",1
Carnitas Crispy Tacos, Tomatillo Green Chili Salsa  Medium ,"  Fajita Veggies, Cheese, Lettuce  ",1
Carnitas Crispy Tacos, Tomatillo Red Chili Salsa  Hot ,"  Black Beans, Rice, Cheese, Sour Cream, Lettuce  ",1
Carnitas Salad,  Fresh Tomato Salsa  Mild ," Roasted Chili Corn Salsa  Medium  ,  Black Beans, Rice, Cheese, Sour Cream  ",1
Carnitas Salad Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Cheese, Guacamole  ",1
Carnitas Salad Bowl, Fresh Tomato Salsa,"  Rice, Cheese, Sour Cream  ",1
Carnitas Salad Bowl, Roasted Chili Corn Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce  ",1
Carnitas Salad Bowl, Roasted Chili Corn Salsa,"  Fajita Vegetables, Rice, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce  ",1
Carnitas Salad Bowl, Tomatillo Green Chili Salsa,"  Black Beans, Cheese, Guacamole  ",1
Carnitas Salad Bowl, Tomatillo Green Chili Salsa,"  Rice, Pinto Beans, Cheese, Sour Cream, Lettuce  ",1
Carnitas Soft Tacos, Fresh Tomato Salsa,"  Cheese, Lettuce  ",2
Carnitas Soft Tacos, Fresh Tomato Salsa,"  Cheese, Sour Cream, Lettuce  ",1
Carnitas Soft Tacos, Fresh Tomato Salsa,"  Fajita Vegetables, Black Beans, Cheese  ",1
Carnitas Soft Tacos, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Pinto Beans, Cheese, Sour Cream, Lettuce  ",1
Carnitas Soft Tacos, Fresh Tomato Salsa,"  Rice, Black Beans, Cheese, Sour Cream, Lettuce  ",1
Carnitas Soft Tacos, Fresh Tomato Salsa,"  Sour Cream, Guacamole  ",1
Carnitas Soft Tacos, Fresh Tomato Salsa,"  Sour Cream, Lettuce  ",1
Carnitas Soft Tacos, Fresh Tomato Salsa  Mild ,"  Black Beans, Rice, Fajita Veggies, Cheese, Lettuce  ",1
Carnitas Soft Tacos, Fresh Tomato Salsa  Mild ,"  Rice, Cheese, Lettuce  ",1
Carnitas Soft Tacos, Fresh Tomato Salsa  Mild ,"  Rice, Fajita Veggies, Cheese, Lettuce, Black Beans  ",1
Carnitas Soft Tacos, Fresh Tomato Salsa  Mild ,"  Rice, Pinto Beans, Cheese, Sour Cream  ",1
Carnitas Soft Tacos, Roasted Chili Corn Salsa,"  Cheese, Lettuce  ",3
Carnitas Soft Tacos, Roasted Chili Corn Salsa,"  Rice, Cheese, Sour Cream, Lettuce  ",3
Carnitas Soft Tacos, Roasted Chili Corn Salsa,"  Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole  ",1
Carnitas Soft Tacos, Roasted Chili Corn Salsa,"  Lettuce, Cheese  ",1
Carnitas Soft Tacos, Roasted Chili Corn Salsa,"  Lettuce, Sour Cream, Cheese, Rice  ",1
Carnitas Soft Tacos, Roasted Chili Corn Salsa,"  Rice, Pinto Beans, Cheese, Sour Cream, Lettuce  ",1
Carnitas Soft Tacos, Roasted Chili Corn Salsa ,Origin,2
Carnitas Soft Tacos, Roasted Chili Corn Salsa  Medium ,"  Black Beans, Rice, Cheese  ",1
Carnitas Soft Tacos, Tomatillo Green Chili Salsa,"  Cheese, Sour Cream, Lettuce  ",1
Carnitas Soft Tacos, Tomatillo Green Chili Salsa,"  Fajita Vegetables, Pinto Beans, Cheese  ",1
Carnitas Soft Tacos, Tomatillo Green Chili Salsa ,Origin,1
Carnitas Soft Tacos, Tomatillo Red Chili Salsa,"  Rice, Cheese, Sour Cream, Lettuce  ",7
Carnitas Soft Tacos, Tomatillo Red Chili Salsa,"  Cheese, Sour Cream, Lettuce  ",1
Carnitas Soft Tacos, Tomatillo Red Chili Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Lettuce  ",1
Carnitas Soft Tacos, Tomatillo Red Chili Salsa,"  Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce  ",1
Carnitas Soft Tacos, Tomatillo Red Chili Salsa,"  Rice, Lettuce  ",1
Carnitas Soft Tacos, Tomatillo Red Chili Salsa  Hot ,"  Cheese, Sour Cream, Lettuce  ",1
Chicken Bowl,  Fresh Tomato Salsa  Mild ," Tomatillo Red Chili Salsa  Hot  ,  Black Beans, Rice, Cheese, Sour Cream  ",7
Chicken Bowl,  Fresh Tomato Salsa  Mild ," Roasted Chili Corn Salsa  Medium  ,  Rice, Fajita Veggies  ",4
Chicken Bowl,  Fresh Tomato Salsa  Mild ," Roasted Chili Corn Salsa  Medium  ,  Black Beans, Rice, Cheese, Sour Cream, Lettuce  ",3
Chicken Bowl,  Fresh Tomato Salsa  Mild ," Tomatillo Red Chili Salsa  Hot  ,  Black Beans, Rice, Cheese, Sour Cream, Guacamole  ",3
Chicken Bowl,  Fresh Tomato Salsa  Mild ," Tomatillo Green Chili Salsa  Medium  ,  Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce  ",2
Chicken Bowl,  Fresh Tomato Salsa  Mild ," Roasted Chili Corn Salsa  Medium  ,  Black Beans, Cheese, Guacamole  ",1
Chicken Bowl,  Fresh Tomato Salsa  Mild ," Roasted Chili Corn Salsa  Medium  ,  Black Beans, Guacamole  ",1
Chicken Bowl,  Fresh Tomato Salsa  Mild ," Roasted Chili Corn Salsa  Medium  ,  Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce  ",1
Chicken Bowl,  Fresh Tomato Salsa  Mild ," Roasted Chili Corn Salsa  Medium  ,  Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce  ",1
Chicken Bowl,  Fresh Tomato Salsa  Mild ," Roasted Chili Corn Salsa  Medium  ,  Black Beans, Rice, Fajita Veggies, Lettuce  ",1
Chicken Bowl,  Fresh Tomato Salsa  Mild ," Roasted Chili Corn Salsa  Medium  ,  Fajita Veggies, Rice  ",1
Chicken Bowl,  Fresh Tomato Salsa  Mild ," Roasted Chili Corn Salsa  Medium  ,  Rice, Cheese, Sour Cream, Guacamole, Lettuce  ",1
Chicken Bowl,  Fresh Tomato Salsa  Mild ," Roasted Chili Corn Salsa  Medium  ,  Rice, Sour Cream, Guacamole, Lettuce  ",1
Chicken Bowl,  Fresh Tomato Salsa  Mild ," Roasted Chili Corn Salsa  Medium , Tomatillo Red Chili Salsa  Hot  ,  Black Beans, Rice, Cheese, Sour Cream  ",1
Chicken Bowl,  Fresh Tomato Salsa  Mild ," Roasted Chili Corn Salsa  Medium , Tomatillo Red Chili Salsa  Hot  ,  Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce  ",1
Chicken Bowl,  Fresh Tomato Salsa  Mild ," Roasted Chili Corn Salsa  Medium , Tomatillo Red Chili Salsa  Hot  ,  Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce  ",1
Chicken Bowl,  Fresh Tomato Salsa  Mild ," Tomatillo Green Chili Salsa  Medium , Roasted Chili Corn Salsa  Medium  ,  Black Beans, Rice, Fajita Veggies, Cheese, Guacamole, Lettuce  ",1
Chicken Bowl,  Fresh Tomato Salsa  Mild ," Tomatillo Green Chili Salsa  Medium , Roasted Chili Corn Salsa  Medium , Tomatillo Red Chili Salsa  Hot  ,  Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream  ",1
Chicken Bowl,  Fresh Tomato Salsa  Mild ," Tomatillo Red Chili Salsa  Hot  ,  Guacamole, Rice, Black Beans, Cheese, Sour Cream  ",1
Chicken Bowl,  Roasted Chili Corn Salsa  Medium ," Fresh Tomato Salsa  Mild  ,  Rice, Fajita Veggies  ",5
Chicken Bowl,  Roasted Chili Corn Salsa  Medium ," Tomatillo Red Chili Salsa  Hot , Fresh Tomato Salsa  Mild  ,  Rice, Pinto Beans, Fajita Veggies, Cheese, Sour Cream, Lettuce  ",3
Chicken Bowl,  Roasted Chili Corn Salsa  Medium ," Fresh Tomato Salsa  Mild  ,  Rice, Black Beans, Fajita Veggies, Guacamole  ",2
Chicken Bowl,  Roasted Chili Corn Salsa  Medium ," Tomatillo Red Chili Salsa  Hot  ,  Black Beans, Rice, Fajita Veggies, Guacamole, Lettuce  ",2
Chicken Bowl,  Roasted Chili Corn Salsa  Medium ," Fresh Tomato Salsa  Mild  ,  Fajita Veggies, Lettuce, Rice, Black Beans  ",1
Chicken Bowl,  Roasted Chili Corn Salsa  Medium ," Fresh Tomato Salsa  Mild  ,  Rice, Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole  ",1
Chicken Bowl,  Roasted Chili Corn Salsa  Medium ," Tomatillo Green Chili Salsa  Medium  ,  Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce  ",1
Chicken Bowl,  Roasted Chili Corn Salsa  Medium ," Tomatillo Red Chili Salsa  Hot  ,  Pinto Beans, Rice, Fajita Veggies  ",1
Chicken Bowl,  Roasted Chili Corn Salsa  Medium ," Tomatillo Red Chili Salsa  Hot  ,  Pinto Beans, Rice, Fajita Veggies, Cheese  ",1
Chicken Bowl,  Roasted Chili Corn Salsa  Medium ," Tomatillo Red Chili Salsa  Hot  ,  Pinto Beans, Rice, Fajita Veggies, Cheese, Lettuce  ",1
Chicken Bowl,  Roasted Chili Corn Salsa  Medium ," Tomatillo Red Chili Salsa  Hot , Fresh Tomato Salsa  Mild , Tomatillo Green Chili Salsa  Medium  ,  Rice, Black Beans, Fajita Veggies, Cheese, Sour Cream  ",1
Chicken Bowl,  Tomatillo Green Chili Salsa  Medium ," Roasted Chili Corn Salsa  Medium  ,  Black Beans, Rice, Cheese, Sour Cream, Lettuce  ",1
Chicken Bowl,  Tomatillo Green Chili Salsa  Medium ," Roasted Chili Corn Salsa  Medium  ,  Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole  ",1
Chicken Bowl,  Tomatillo Green Chili Salsa  Medium ," Roasted Chili Corn Salsa  Medium  ,  Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce  ",1
Chicken Bowl,  Tomatillo Green Chili Salsa  Medium ," Roasted Chili Corn Salsa  Medium  ,  Rice, Fajita Veggies, Guacamole, Lettuce  ",1
Chicken Bowl,  Tomatillo Green Chili Salsa  Medium ," Tomatillo Red Chili Salsa  Hot  ,  Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole  ",1
Chicken Bowl,  Tomatillo Red Chili Salsa  Hot ," Tomatillo Green Chili Salsa  Medium  ,  Rice, Black Beans, Cheese, Lettuce  ",1
Chicken Bowl,  Tomatillo Red Chili Salsa  Hot ," Tomatillo Green Chili Salsa  Medium  ,  Rice, Black Beans, Lettuce  ",1
Chicken Bowl, Fresh Tomato  Mild ,"  Guacamole, Rice  ",1
Chicken Bowl, Fresh Tomato  Mild ,"  Lettuce, Fajita Veggies, Black Beans, Rice, Sour Cream, Cheese  ",1
Chicken Bowl, Fresh Tomato  Mild ,"  Lettuce, Fajita Veggies, Pinto Beans, Rice, Sour Cream, Cheese  ",1
Chicken Bowl, Fresh Tomato  Mild ,"  Rice, Sour Cream, Cheese  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice  ",17
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce  ",14
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Cheese, Sour Cream, Lettuce  ",14
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Cheese  ",13
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Cheese, Lettuce  ",13
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Cheese, Sour Cream, Lettuce  ",13
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Cheese, Sour Cream  ",11
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Lettuce  ",10
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Cheese, Sour Cream  ",10
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Lettuce  ",9
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole, Lettuce  ",9
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce  ",8
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Cheese, Guacamole, Lettuce  ",8
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Cheese, Sour Cream, Guacamole  ",8
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Fajita Vegetables  ",8
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce  ",7
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce  ",5
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Cheese, Lettuce  ",5
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Cheese, Sour Cream, Guacamole  ",5
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Sour Cream, Lettuce  ",4
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Fajita Vegetables, Sour Cream, Cheese, Guacamole  ",4
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Pinto Beans, Sour Cream, Cheese, Lettuce  ",4
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese  ",3
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Guacamole, Lettuce  ",3
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole  ",3
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce  ",3
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Guacamole, Lettuce  ",3
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Guacamole, Lettuce  ",3
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Sour Cream  ",3
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Sour Cream, Cheese  ",3
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Pinto Beans, Cheese, Lettuce  ",3
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Pinto Beans, Cheese, Sour Cream, Lettuce  ",3
Chicken Bowl, Fresh Tomato Salsa, Cheese ,3
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce  ",2
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Sour Cream  ",2
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Sour Cream, Guacamole, Lettuce  ",2
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Sour Cream, Lettuce  ",2
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Cheese, Guacamole  ",2
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Pinto Beans, Cheese, Guacamole, Lettuce  ",2
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Sour Cream, Guacamole, Lettuce  ",2
Chicken Bowl, Fresh Tomato Salsa,"  Guacamole, Cheese, Sour Cream, Fajita Vegetables, Rice  ",2
Chicken Bowl, Fresh Tomato Salsa,"  Guacamole, Sour Cream, Cheese, Rice, Fajita Vegetables  ",2
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Guacamole  ",2
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Lettuce  ",2
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Pinto Beans, Cheese, Lettuce  ",2
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Sour Cream, Guacamole, Lettuce  ",2
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Lettuce  ",2
Chicken Bowl, Fresh Tomato Salsa,"  Sour Cream, Fajita Vegetables, Rice, Guacamole, Cheese  ",2
Chicken Bowl, Fresh Tomato Salsa,"  Sour Cream, Guacamole, Lettuce  ",2
Chicken Bowl, Fresh Tomato Salsa,"  Black Beans, Cheese, Guacamole, Lettuce  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Black Beans, Cheese, Sour Cream  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Black Beans, Rice, Sour Cream, Cheese, Guacamole, Lettuce  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Cheese, Black Beans, Rice  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Cheese, Guacamole, Sour Cream, Fajita Vegetables, Rice  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Cheese, Rice, Black Beans  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Black Beans, Pinto Beans, Guacamole, Lettuce  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Pinto Beans, Guacamole, Lettuce  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Pinto Beans, Cheese, Sour Cream  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Cheese, Lettuce  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Pinto Beans, Cheese  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Pinto Beans, Cheese, Sour Cream, Lettuce  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Fajita Vegetables, Rice, Sour Cream, Guacamole  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Guacamole, Cheese, Rice, Sour Cream, Fajita Vegetables  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Guacamole, Lettuce  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Guacamole, Lettuce, Rice, Cheese, Sour Cream, Black Beans  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Lettuce, Cheese, Pinto Beans, Rice  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Lettuce, Fajita Vegetables, Guacamole, Rice, Black Beans  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Pinto Beans, Cheese, Guacamole  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Pinto Beans, Rice, Cheese, Lettuce, Guacamole, Sour Cream, Fajita Vegetables  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Pinto Beans, Rice, Lettuce, Cheese  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Black Beans  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Cheese, Guacamole  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Cheese, Lettuce, Guacamole  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Fajita Vegetables, Lettuce, Cheese, Sour Cream  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Lettuce, Guacamole  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Pinto Beans, Cheese  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Pinto Beans, Cheese, Sour Cream  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Pinto Beans, Guacamole, Lettuce  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Sour Cream, Cheese, Guacamole  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Black Beans, Sour Cream, Cheese, Lettuce, Guacamole  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Cheese  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Cheese, Black Beans  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Cheese, Guacamole, Lettuce  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Cheese, Sour Cream, Guacamole, Fajita Vegetables  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Cheese, Sour Cream, Guacamole, Lettuce  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Fajita Vegetables, Black Beans  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Fajita Vegetables, Black Beans, Cheese, Lettuce  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Fajita Vegetables, Black Beans, Sour Cream, Cheese, Lettuce  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Fajita Vegetables, Black Beans, Sour Cream, Cheese, Lettuce, Guacamole  ",1
Chicken Bowl, Fresh Tomato Salsa,"  Rice, Fajita Vegetables, Cheese, Lettuce, Guacamole  ",1
